Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-26.794956779580872,-92.10867104393361,1
40.4,-26.090204424932935,-91.79928826417006,1
40.804,-26.426355779424856,-92.57678946845417,1
41.21204,-26.38016879584794,-92.55634548460199,1
41.6241604,-25.8045854687128,-91.80356906624523,1
42.040402004,-26.134111528518837,-91.88199803948048,1
42.460806024040004,-25.881234605504787,-91.83247562936839,1
42.885414084280406,-25.94001348442589,-91.81643182880929,1
43.31426822512321,-25.955536049583095,-93.92338205143378,1
43.74741090737444,-25.972646968930704,-93.27356735112082,1
44.184885016448185,-25.964646193861103,-91.16337944272306,1
44.62673386661267,-25.79757496692257,-90.32044660434497,2
45.07300120527879,-25.696533244351446,-92.71309764353629,1
45.52373121733158,-25.43243234092283,-91.0784292670953,1
45.9789685295049,-26.199784906915188,-91.14036608458008,2
46.43875821479995,-25.85450959097476,-91.86296947742,1
46.903145796947946,-25.295005283460817,-92.10448205148477,1
47.372177254917425,-25.63217528380365,-93.8874507798438,1
47.8458990274666,-25.651315996694933,-92.59278356830941,1
48.32435801774127,-25.1489973270923,-93.38777368090211,1
48.80760159791868,-25.123490822975608,-90.49287822207954,1
49.29567761389787,-24.925132473806556,-92.54597222419109,1
49.788634390036854,-24.870932859650903,-92.00048003632995,1
50.28652073393722,-24.779166761604888,-92.28489737541798,1
50.7893859412766,-24.907406106574733,-92.43653928196537,1
51.29727980068937,-24.788358567675186,-91.7018321306839,1
51.81025259869626,-24.78995783626949,-92.48464317923174,1
52.32835512468322,-24.73905546322361,-93.12351572457084,2
52.851638675930054,-24.591866873878764,-92.91130963531634,1
53.380155062689354,-24.67022392808773,-93.305187828618,1
53.91395661331625,-24.482651816666998,-92.31418930768766,1
54.45309617944942,-24.65577702637037,-92.95976720831092,2
54.99762714124391,-24.41097927402511,-92.18905258867045,2
55.54760341265635,-24.302990333836988,-93.33950325067487,1
56.103079446782914,-24.16535257095915,-94.0694134631459,1
56.66411024125075,-24.255574654002686,-92.64873709553797,2
57.23075134366326,-23.760823457976958,-92.68267240627135,2
57.80305885709989,-23.765305635699054,-91.41337725265114,1
58.38108944567089,-23.60126413013239,-92.59744369102795,1
58.9649003401276,-23.638230773476653,-94.01654114730624,2
59.554549343528876,-23.32104773891552,-92.895819236156,1
60.150094836964165,-23.4511862792141,-94.03578856360069,1
60.751595785333805,-23.54247792036213,-93.77523174722523,1
61.35911174318714,-23.225163637641735,-93.03296204269435,1
61.972702860619016,-23.11266044638338,-92.50123178191741,1
62.59242988922521,-22.882596107954672,-92.8214289383477,1
63.21835418811746,-23.18530857477521,-93.11812628673624,1
63.850537729998635,-22.921363892362653,-93.96591779944781,1
64.48904310729863,-22.74358362630013,-93.13791720810927,1
65.13393353837161,-22.574236439961034,-93.28097493216936,1
65.78527287375532,-22.612669393270014,-92.9856634566745,1
66.44312560249287,-22.452692869397413,-94.12616291414355,1
67.1075568585178,-22.312117316615474,-93.4531182825756,1
67.77863242710298,-22.21354839883619,-92.69126393624782,1
68.456418751374,-22.349217582697186,-92.304881322818,1
69.14098293888775,-22.439064451466223,-92.4103847934588,1
69.83239276827662,-22.137236244260855,-93.02446026207963,1
70.53071669595938,-22.234358838584335,-93.66690064904162,1
71.23602386291898,-22.109843234233924,-93.76092538093434,1
71.94838410154817,-21.768551315740154,-92.93381137572953,1
72.66786794256366,-21.81985072839037,-93.22874083394235,1
73.39454662198929,-21.968337864034766,-93.7807773190689,1
74.12849208820919,-21.818603435752124,-93.48958081309378,1
74.86977700909128,-21.627362403602405,-92.86021059341113,1
75.6184747791822,-21.7437271352727,-93.65170140077993,1
76.37465952697401,-21.58008290139034,-93.81144249219801,1
77.13840612224375,-21.299727409809158,-93.9141487121837,1
77.90979018346619,-21.310172291293316,-92.59122882415647,1
78.68888808530085,-21.299587602659,-94.20797451649906,1
79.47577696615386,-21.00024476061445,-94.61361360624093,1
80.2705347358154,-20.896028392143393,-94.10675696837762,1
81.07324008317356,-20.79573316195285,-94.47329761575588,1
81.8839724840053,-20.754817326674658,-94.34558019519378,1
82.70281220884536,-20.781032432793527,-93.70718167859609,1
83.52984033093381,-20.8350376851277,-94.12082842536532,1
84.36513873424315,-20.73324105930232,-94.19664173000461,1
85.20879012158558,-20.642360213756586,-93.63237961393548,1
86.06087802280143,-20.567591068583205,-94.00783109596466,1
86.92148680302945,-20.510282429901622,-93.62831678085513,1
87.79070167105975,-20.43283046848836,-93.97196770238389,1
88.66860868777034,-20.276081319868826,-94.04273684376385,1
89.55529477464805,-20.071545257875037,-94.58949574825104,1
90.45084772239453,-20.05956673975846,-94.63601760860627,1
91.35535619961847,-19.843699098203093,-94.03984054013165,1
92.26890976161465,-19.743107624024937,-94.42826694124271,1
93.1915988592308,-19.693123676488117,-94.08255020688748,1
94.1235148478231,-19.62607362539348,-93.98514247713969,1
95.06474999630133,-19.63246195202163,-94.08810378661218,1
96.01539749626434,-19.526541301040165,-95.32738414767203,1
96.97555147122699,-19.29023428961081,-93.88522848875965,1
97.94530698593927,-19.400902287261957,-94.25751467711498,1
98.92476005579866,-19.10195583746949,-94.0336306271599,1
99.91400765635665,-19.015380338411102,-95.05674429873164,1
100.91314773292021,-19.052637852638135,-94.83338540713294,1
101.92227921024941,-18.74483629168796,-95.07743848131543,1
102.94150200235191,-18.877490820868562,-94.42446267908693,1
103.97091702237543,-18.732634977593257,-94.04338648012873,1
105.01062619259919,-18.604511054290672,-94.53824400107123,1
106.06073245452518,-18.647023965369605,-95.02587142237628,1
107.12133977907044,-18.578043265280787,-95.13823280596495,1
108.19255317686114,-18.400262549457725,-95.13660223490044,1
109.27447870862976,-18.0868534052684,-95.15468626524877,1
110.36722349571606,-18.085584224385432,-95.15221112381238,1
111.47089573067322,-18.263716003299034,-95.4625168487018,1
112.58560468797995,-18.21949045316721,-95.66651718197346,1
113.71146073485976,-17.935220458662794,-95.5427827767802,1
114.84857534220835,-17.560167235855225,-94.35297376149148,1
115.99706109563043,-17.721737354978217,-95.58652662611452,1
117.15703170658674,-17.828869164539853,-95.45829111662837,1
118.3286020236526,-17.657654025644465,-95.40506175698324,1
119.51188804388913,-17.370447357455266,-95.06401099924128,1
120.70700692432803,-17.270348274580638,-94.97784679849724,1
121.91407699357131,-17.321472153534035,-95.73104857817657,1
123.13321776350703,-17.13931370097467,-96.0818181754043,1
124.3645499411421,-16.801999185793743,-95.50438812391833,1
125.60819544055353,-17.16973198276871,-95.38924552534145,1
126.86427739495906,-17.173730608783945,-95.99132933876642,1
128.13292016890864,-17.127647553668826,-95.54996872548868,1
129.41424937059773,-16.959120394990315,-96.19385014678139,1
130.7083918643037,-17.03262887443915,-96.26473543236807,1
132.01547578294674,-17.02228119583617,-96.08756425749652,1
133.3356305407762,-16.810071160406387,-96.31890578966139,1
134.66898684618397,-16.715183183319752,-95.6879416911175,1
136.01567671464582,-16.691790455369528,-96.6619002271722,1
137.37583348179228,-16.627854173235374,-96.89075991571866,1
138.7495918166102,-16.22771733968832,-96.25601432662424,1
140.13708773477632,-16.0226770841173,-96.31670705749097,1
141.5384586121241,-16.392896218459487,-96.80663218404078,1
142.95384319824532,-16.20794073204082,-96.6670034645797,1
144.38338163022777,-16.02563149329593,-96.32620386641457,1
145.82721544653006,-16.12500165111794,-96.60630075216866,1
147.28548760099537,-16.005366787329997,-97.119524101609,1
148.75834247700533,-15.780057953111458,-96.70155846176839,1
150.2459259017754,-15.79421964909618,-96.8929579116745,1
151.74838516079316,-15.840694356310973,-97.5302611033573,1
153.26586901240108,-15.540938572597199,-97.14275348819787,1
154.7985277025251,-15.456047428522469,-97.24327390925427,1
156.34651297955034,-15.508208689470335,-97.10434142076525,1
157.90997810934584,-15.326799972951816,-97.120496849111,1
159.4890778904393,-15.14380393056521,-97.0611874140389,1
161.08396866934368,-15.226433555387372,-97.54497939843759,1
162.6948083560371,-15.129231050038495,-97.3086396954252,1
164.32175643959746,-14.952242915011489,-97.48765797182824,1
165.96497400399343,-14.941095103133327,-97.41744691441839,1
167.62462374403336,-14.774848154318933,-97.78241993146587,1
169.30086998147368,-14.535235855452916,-97.78220074020416,1
170.9938786812884,-14.661773409684352,-97.8845895991879,1
172.7038174681013,-14.493398340727275,-98.27320274055387,1
174.43085564278232,-14.216737797912241,-97.82346057084283,1
176.17516419921014,-14.35606445697304,-98.25087827855495,1
177.93691584120225,-14.248405887109236,-98.03117004989421,1
179.7162849996143,-14.163946167184642,-98.49022362015918,1
181.51344784961043,-14.145335034901867,-98.23410452703502,1
183.32858232810653,-13.878158890591779,-98.14243607874823,1
185.1618681513876,-13.952869994744056,-98.63638888396203,1
187.0134868329015,-13.903457591240484,-99.0347806566172,1
188.8836217012305,-13.675258685506963,-98.42630085112948,1
190.77245791824282,-13.781589847876408,-99.05071766209545,1
192.68018249742525,-13.612447941736454,-99.13248134661868,1
194.6069843223995,-13.329323588898557,-99.37903973665208,1
196.5530541656235,-13.390194122500926,-98.71852434959911,1
198.51858470727976,-13.272265432479918,-98.96523718241566,1
200.50377055435257,-13.284094975603802,-98.97649768657084,1
202.50880825989609,-13.12337527771288,-99.30853501987572,1
204.53389634249504,-12.90294158610869,-98.98997680981726,1
206.57923530591998,-12.942682575053833,-99.17922663596191,1
208.6450276589792,-12.714713787739859,-99.10212968414885,1
210.731477935569,-12.815133064176726,-99.68827575127648,1
212.8387927149247,-12.586593420118104,-99.50144640796672,1
214.96718064207394,-12.653114501392126,-99.7268466336219,1
217.11685244849468,-12.47607995298124,-99.74821724289147,1
219.28802097297964,-12.24124633409676,-99.87921353668145,1
221.48090118270943,-12.199117395484564,-99.52529598449405,1
223.69571019453653,-12.319543583770953,-100.35528411164768,1
225.9326672964819,-12.184655721042317,-100.41663941121033,1
228.1919939694467,-11.95550035527853,-100.30542699522596,1
230.47391390914117,-11.788395133522444,-100.20837689966415,1
232.7786530482326,-11.856075645549568,-100.62658080351413,1
235.10643957871494,-11.820697168539093,-100.6298863906668,1
237.4575039745021,-11.559707642447144,-100.54294447981226,1
239.8320790142471,-11.353880778202484,-100.51583346856239,1
242.23039980438958,-11.551906292064167,-100.7208622789235,1
244.65270380243348,-11.363294676246932,-101.00453833084623,1
247.0992308404578,-11.266612807526483,-101.00579035670118,1
249.5702231488624,-11.025392556310955,-100.85100754850792,1
252.06592538035102,-11.048706434539888,-100.99749844330601,1
254.58658463415452,-10.983446409488616,-101.18296897930425,1
257.13245048049606,-10.768045839937079,-101.55254417887859,1
259.70377498530104,-10.519662202926433,-100.89821257281373,1
262.30081273515407,-10.649331633302806,-101.65122904555909,1
264.92382086250564,-10.583133820894412,-101.70261482142445,1
267.5730590711307,-10.360841376920767,-101.40715724076242,1
270.24878966184195,-10.33757613829795,-101.63747164331903,1
272.9512775584604,-10.421856525487621,-101.97153892522063,1
275.680790334045,-10.338918345869162,-102.2632172177974,1
278.4375982373855,-10.147500290769152,-102.11212719985988,1
281.2219742197593,-10.06974218340114,-102.5253596444021,1
284.03419396195693,-10.069571007574105,-102.55326828688715,1
286.8745359015765,-9.874822170474951,-102.49651639716883,1
289.74328126059225,-9.779285194404844,-102.51583607613502,1
292.6407140731982,-9.79479177951427,-102.7633468047195,1
295.5671212139302,-9.681347686241983,-102.87100240244602,1
298.5227924260695,-9.487801347754973,-102.86926964212772,1
301.5080203503302,-9.546353098652139,-103.08948721489764,1
304.5231005538335,-9.550345651724342,-103.50793785385315,1
307.5683315593718,-9.312071732781991,-103.16525709545351,1
310.64401487496554,-9.372892501519079,-103.78690169219713,1
313.7504550237152,-9.306707113283036,-104.18032621148959,1
316.88795957395234,-9.059779911443309,-103.77279881023505,1
320.0568391696919,-9.04894641287779,-103.82710421973047,1
323.25740756138885,-9.074748603499321,-104.48014700350205,1
326.48998163700276,-8.88548835962446,-104.19626410747702,1
329.7548814533728,-8.739666991377158,-104.12516211819548,1
333.0524302679065,-8.718759174422097,-104.64356300655345,1
336.3829545705856,-8.551773068555,-104.25119844124615,1
339.74678411629145,-8.462349979961049,-104.73573032089939,1
343.14425195745434,-8.432944880973327,-105.1957929455624,1
346.5756944770289,-8.219183621211686,-104.85069991126555,1
350.0414514217992,-8.14847600518966,-105.18767919595253,1
353.5418659360172,-8.140304211708816,-105.35493385335604,1
357.07728459537736,-7.914986891691682,-105.11762430598063,1
360.64805744133116,-7.916195972100402,-105.39006832004944,1
364.25453801574446,-7.856849656580413,-105.6709464905976,1
367.8970833959019,-7.661902741203681,-105.74505466470961,1
371.5760542298609,-7.7084388518282765,-106.0393884327533,1
375.2918147721595,-7.557863618944386,-106.03500502239704,1
379.0447329198811,-7.410343387136408,-106.21150504415567,1
382.8351802490799,-7.490048913621763,-106.50121017179697,1
386.6635320515707,-7.186526121386954,-106.56237178846115,1
390.5301673720864,-7.289138639840293,-106.52674629884983,1
394.4354690458073,-7.113433627422204,-106.72495946222251,1
398.37982373626534,-6.968057017081824,-106.83437823579598,1
402.36362197362797,-6.884098181456835,-106.81635957856281,1
406.38725819336423,-6.744912553426933,-106.82580122286208,1
410.4511307752979,-6.794582027076647,-107.45215616263361,1
414.5556420830509,-6.785605986549193,-107.60390686826997,1
418.7011985038814,-6.689269716663042,-107.7384453994404,1
422.8882104889202,-6.726390899405779,-107.9514465066406,1
427.1170925938094,-6.463382337724215,-107.99435055964435,1
431.3882635197475,-6.488271723280075,-108.35182415247019,1
435.702146154945,-6.327704936317744,-108.29721999997435,1
440.05916761649445,-6.284092077625669,-108.6030122889301,1
444.4597592926594,-6.148074343132093,-108.51566017707154,1
448.90435688558597,-6.057669034172312,-108.74642444600573,1
453.39340045444186,-5.980473133527548,-109.04673492518114,1
457.9273344589863,-5.846748724407608,-109.06530573851097,1
462.5066078035762,-5.869758920149583,-109.44400819602308,1
467.13167388161196,-5.689659951396008,-109.38400013313439,1
471.8029906204281,-5.667329193263934,-109.68369519715691,1
476.52102052663236,-5.455898897196411,-109.60911068147394,1
481.2862307318987,-5.324751398783577,-109.48477626731068,1
486.0990930392177,-5.072976113365767,-109.54745876346027,1
490.96008396960985,-5.161396022463398,-110.02666352535485,1
495.86968480930597,-4.933158612708166,-109.88650837861763,1
500.828381657399,-5.023358123146123,-110.34839372257187,1
505.836665473973,-4.908683857929361,-110.6127891466769,1
510.8950321287128,-5.019206211803419,-111.21029465754822,1
516.00398245,-4.848663894040267,-111.36485682543454,1
521.1640222745,-4.617910261748981,-110.68777507361588,1
526.375662497245,-4.559333352090099,-111.11981161417431,1
531.6394191222174,-4.561675814161673,-111.47060048732607,1
536.9558133134396,-4.478599510947661,-111.9542100171705,1
542.3253714465741,-4.38382754751719,-111.90173698108475,1
547.7486251610399,-4.210713104413083,-111.699717573702,1
553.2261114126503,-4.157843477042613,-112.06781225295938,1
558.7583725267768,-4.1954754216991,-112.77573101999127,1
564.3459562520446,-4.176815276664123,-113.00556494474205,1
569.9894158145651,-3.910180191900971,-112.74818376186855,1
575.6893099727107,-3.8532305777261215,-112.76046128419048,1
581.4462030724378,-3.905409884116561,-113.45127163142615,1
587.2606651031622,-3.8726652456928057,-113.75517712662472,1
593.1332717541939,-3.593183114413377,-113.60585188624357,1
599.0646044717358,-3.460836428672953,-113.60431221656772,1
605.0552505164532,-3.4904109547812197,-114.11566366040174,1
611.1058030216177,-3.4916524027837093,-114.5554834770812,1
617.2168610518339,-3.338067891867671,-114.34617210313964,1
623.3890296623523,-3.2251255654826783,-114.53004480944236,1
629.6229199589758,-3.1757521967853877,-114.84156894400726,1
635.9191491585656,-3.1779728751436944,-115.45766565427118,1
642.2783406501512,-2.9996371556281285,-115.17481528409922,1
648.7011240566527,-2.8952736228012164,-115.27462538727961,1
655.1881352972192,-2.942041171747347,-115.96682185596356,1
661.7400166501914,-2.8602428187049016,-116.20611189126589,1
668.3574168166933,-2.5599256997719624,-115.5503778080433,1
675.0409909848603,-2.5750007243867694,-116.17322619543113,1
681.7914008947089,-2.632803817485453,-116.96829067892415,1
688.609314903656,-2.491073989313458,-116.81212553940779,1
695.4954080526926,-2.31282760781147,-116.60938291947573,1
702.4503621332195,-2.2420830350355416,-116.98923152289001,1
709.4748657545517,-2.243785680564874,-117.4914878907127,1
716.5696144120973,-2.033874238585919,-117.21275589783501,1
723.7353105562182,-1.9182624509725568,-117.32331613320105,1
730.9726636617804,-1.9693361814232406,-118.13529586977248,1
738.2823902983982,-1.8529929141752883,-118.10935138801398,1
745.6652142013822,-1.6606046950471332,-118.06820700116344,1
753.121866343396,-1.667624310244457,-118.56021742590008,1
760.65308500683,-1.6189611864587268,-118.83872692997608,1
768.2596158568983,-1.4173759659220742,-118.71218123442594,1
775.9422120154674,-1.4160978075460302,-119.0292769650722,1
783.701634135622,-1.3585153493785649,-119.53961630948064,1
791.5386504769783,-1.156348116317193,-119.35236091541826,1
799.4540369817481,-1.1030503301391503,-119.57390288630464,1
807.4485773515656,-1.1376435938885892,-120.13059735950247,1
815.5230631250813,-0.886638059760109,-119.95228331379528,1
823.6782937563321,-0.784449100470933,-120.00840125159193,1
831.9150766938955,-0.7869223506351022,-120.64661994639837,1
840.2342274608344,-0.6600584776207429,-120.58407829582455,1
848.6365697354428,-0.5641176277148846,-120.71244329334218,1
857.1229354327972,-0.6022563767475194,-121.26896553805679,1
865.6941647871253,-0.38526411766484603,-121.16634779724448,1
